Reactor name,Country,Type,"Net Capacity, MWe",Grid Connection Date,Avg_Load_Factor,Age,Assumed_Lifespan,Remaining_Life
AKADEMIK LOMONOSOV-1,RUSSIA,PWR,32,2019-12-19,35.620000000000005,6,60,54
AKADEMIK LOMONOSOV-2,RUSSIA,PWR,32,2019-12-19,27.04,6,60,54
ALMARAZ-1,SPAIN,PWR,1011,1981-05-01,85.84,44,60,16
ALMARAZ-2,SPAIN,PWR,1006,1983-10-08,90.14,42,60,18
ANGRA-1,BRAZIL,PWR,609,1982-04-01,87.52000000000001,43,60,17
ANGRA-2,BRAZIL,PWR,1275,2000-07-21,82.34,25,60,35
ANO-1,UNITED STATES OF AMERICA,PWR,836,1974-08-17,91.3,51,80,29
ANO-2,UNITED STATES OF AMERICA,PWR,988,1978-12-26,88.54,47,60,13
ARMENIAN-2,ARMENIA,PWR,416,1980-01-05,66.66,45,60,15
ASCO-1,SPAIN,PWR,995,1983-08-13,84.46,42,60,18
ASCO-2,SPAIN,PWR,997,1985-10-23,87.34,40,60,20
ATUCHA-1,ARGENTINA,PHWR,340,1974-03-19,75.7,51,80,29
ATUCHA-2,ARGENTINA,PHWR,693,2014-06-27,42.260000000000005,11,60,49
BALAKOVO-1,RUSSIA,PWR,950,1985-12-28,94.8,40,60,20
BALAKOVO-2,RUSSIA,PWR,950,1987-10-08,96.88,38,60,22
BALAKOVO-3,RUSSIA,PWR,950,1988-12-25,94.22,37,60,23
BALAKOVO-4,RUSSIA,PWR,950,1993-04-11,98.67999999999999,32,60,28
BARAKAH-1,UNITED ARAB EMIRATES,PWR,1337,2020-08-19,85.325,5,60,55
BARAKAH-2,UNITED ARAB EMIRATES,PWR,1337,2021-09-14,86.45,4,60,56
BARAKAH-3,UNITED ARAB EMIRATES,PWR,1337,2022-10-08,91.80000000000001,3,60,57
BARAKAH-4,UNITED ARAB EMIRATES,PWR,1337,2024-03-23,83.7,1,60,59
BEAVER VALLEY-1,UNITED STATES OF AMERICA,PWR,908,1976-06-14,93.86000000000001,49,60,11
BEAVER VALLEY-2,UNITED STATES OF AMERICA,PWR,905,1987-08-17,91.23999999999998,38,60,22
BELARUSIAN-1,BELARUS,PWR,1110,2020-11-03,66.3,5,60,55
BELARUSIAN-2,BELARUS,PWR,1110,2023-05-13,76.6,2,60,58
BELLEVILLE-1,FRANCE,PWR,1310,1987-10-14,66.94,38,60,22
